delta,delta_log2,frequency,density,cumulative_density
5/19,-1.925999418556224,75587,0.0014865421590176,0.8152262925956688
21/5,2.070389327891398,75114,0.0014772398392905,0.8167035324349593
5/21,-2.070389327891398,74392,0.001463040526726,0.8181665729616853
21,4.392317422778761,73540,0.0014462845512344,0.8196128575129197
1/21,-4.392317422778761,73102,0.0014376705638338,0.8210505280767535
14/9,0.6374299206152918,72080,0.0014175712598991,0.8224680993366525
9/14,-0.6374299206152917,71260,0.0014014446168203,0.8238695439534729
19/3,2.662965012722429,71075,0.0013978062888086,0.8252673502422815
4/21,-2.39231742277876,71009,0.0013965082907072,0.8266638585329887
21/4,2.39231742277876,70954,0.0013954266256226,0.8280592851586114
3/19,-2.6629650127224296,70675,0.0013899396336482,0.8294492247922596
13/12,0.1154772174199358,68838,0.0013538120198242,0.8308030368120838
12/13,-0.1154772174199359,68801,0.0013530843542219,0.8321561211663057
15/11,0.4474589769712211,68638,0.001349878692244,0.8335059998585497
11/15,-0.4474589769712214,68380,0.0013448046996656,0.8348508045582153
2/21,-3.39231742277876,65786,0.0012937894409506,0.8361445939991659
17/7,1.2801079191927351,65626,0.0012906427788864,0.8374352367780522
7/17,-1.2801079191927354,65412,0.0012864341183756,0.8387216708964278
21/2,3.39231742277876,65391,0.0012860211189797,0.8400076920154075
22/3,2.874469117916141,65305,0.0012843297881202,0.8412920218035277
3/22,-2.874469117916141,65200,0.0012822647911406,0.8425742865946683
6/19,-1.6629650127224294,63619,0.0012511718366193,0.8438254584312875
19/6,1.6629650127224291,63452,0.0012478875080898,0.8450733459393773
20/7,1.5145731728297582,61901,0.0012173845527055,0.8462907304920828
7/20,-1.5145731728297585,61438,0.0012082788993573,0.8474990093914401
11/13,-0.2410080995037949,61164,0.0012028902405725,0.8487018996320126
13/11,0.2410080995037949,61097,0.0012015725758331,0.8499034722078457
16/9,0.8300749985576876,60199,0.0011839119349981,0.8510873841428438
9/16,-0.8300749985576876,60163,0.0011832039360337,0.8522705880788775
11/12,-0.1255308820838589,60128,0.0011825156037071,0.8534531036825845
12/11,0.1255308820838588,59992,0.0011798409409526,0.8546329446235371
15/13,0.2064508774674262,58449,0.0011494953186715,0.8557824399422086
13/15,-0.2064508774674263,58269,0.0011459553238493,0.8569283952660579
6/17,-1.5025003405291832,57473,0.0011303006800802,0.8580586959461382
17/6,1.5025003405291837,57377,0.0011284126828417,0.8591871086289798
1/24,-4.584962500721157,54523,0.0010722840982724,0.8602593927272523
24,4.584962500721157,54271,0.0010673281055214,0.8613267208327736
15/14,0.0995356735509143,54100,0.0010639651104403,0.8623906859432139
14/15,-0.0995356735509144,53986,0.0010617231137196,0.8634524090569334
22/5,2.137503523749935,53309,0.0010484087998607,0.8645008178567941
5/22,-2.137503523749935,53213,0.0010465208026222,0.8655473386594164
17/10,0.765534746362977,52408,0.0010306891591119,0.8665780278185282
10/17,-0.765534746362977,52214,0.0010268738313592,0.8676049016498875
3/25,-3.0588936890535687,50998,0.0010029591996716,0.8686078608495591
25/3,3.0588936890535687,50457,0.0009923195485672,0.8696001803981263
1/10,-3.321928094887362,50150,0.0009862818907316,0.8705864622888578
10,3.321928094887362,50044,0.0009841972271141,0.8715706595159719
13/14,-0.1069152039165119,49250,0.0009685819166208,0.8725392414325926
14/13,0.1069152039165119,49110,0.0009658285873147,0.8735050700199074
25/2,3.643856189774725,47613,0.000936387630377,0.8744414576502844
2/25,-3.643856189774725,47260,0.0009294453071979,0.8753709029574822
23/7,1.7162070339994089,44934,0.0008837007074404,0.8762546036649226
23,4.523561956057013,44638,0.0008778793826217,0.8771324830475443
1/23,-4.523561956057013,44635,0.000877820382708,0.8780103034302523
7/23,-1.7162070339994089,44159,0.0008684590630672,0.8788787624933195
17/9,0.9175378398080272,43369,0.0008529224191254,0.8797316849124449
9/20,-1.15200309344505,43284,0.0008512507549038,0.8805829356673487
9/17,-0.9175378398080272,43138,0.0008483794257703,0.881431315093119
4/7,-0.8073549220576043,42725,0.0008402571043172,0.8822715721974362
20/9,1.15200309344505,42651,0.0008388017731126,0.8831103739705488
7/4,0.8073549220576041,42618,0.0008381527740618,0.8839485267446107
5/24,-2.263034405833794,42182,0.000829578119937,0.8847781048645477
24/5,2.263034405833794,42167,0.0008292831203685,0.8856073879849161
11/19,-0.7884958948062882,41497,0.0008161064729749,0.886423494457891
19/11,0.7884958948062882,41335,0.0008129204776349,0.887236414935526
13/17,-0.3870231231092473,40363,0.0007938045055952,0.8880302194411211
19/9,1.0780025120012733,40061,0.0007878651809491,0.8888180846220702
17/13,0.3870231231092473,39855,0.0007838138535416,0.8896018984756119
9/19,-1.0780025120012733,39828,0.0007832828543182,0.89038518132993
23/3,2.938599455335857,39324,0.0007733708688162,0.8911585521987463
3/23,-2.938599455335857,39079,0.0007685525425304,0.8919271047412767
11/16,-0.5405683813627028,36185,0.0007116372924451,0.8926387420337217
19/8,1.2479275134435854,36135,0.0007106539605501,0.8933493959942719
21/8,1.3923174227787602,35875,0.0007055406346958,0.8940549366289676
16/11,0.5405683813627028,35808,0.0007042229699565,0.8947591595989242
8/21,-1.3923174227787605,35791,0.0007038886371122,0.8954630482360364
8/19,-1.2479275134435857,35789,0.0007038493038364,0.8961668975398728
10/21,-1.070389327891398,35124,0.0006907709896322,0.896857668529505
21/10,1.070389327891398,34743,0.000683278000592,0.897540946530097
27,4.754887502163469,34075,0.0006701406864742,0.8982110872165712
23/4,2.523561956057013,33811,0.0006649486940683,0.8988760359106395
1/27,-4.754887502163469,33726,0.0006632770298467,0.8995393129404862
4/23,-2.523561956057013,33557,0.0006599533680415,0.9001992663085276
29,4.857980995127573,33303,0.0006549580420147,0.9008542243505423
11/18,-0.7104933828050151,33220,0.0006533257110689,0.9015075500616112
1/29,-4.857980995127573,33058,0.0006501397157289,0.9021576897773401
18/11,0.7104933828050153,33051,0.0006500020492636,0.9028076918266037
28/5,2.485426827170242,32388,0.0006369630683353,0.903444654894939
5/28,-2.485426827170242,32244,0.0006341310724776,0.9040787859674165
17/12,0.5025003405291834,31939,0.0006281327479178,0.9047069187153344
12/17,-0.5025003405291831,31778,0.0006249664192157,0.9053318851345501
17/15,0.1805722456418208,31126,0.0006121437713043,0.9059440289058543
15/17,-0.1805722456418209,31062,0.0006108851064787,0.906554914012333
1/26,-4.700439718141093,30953,0.0006087414429475,0.9071636554552805
26,4.700439718141093,30937,0.0006084267767411,0.9077720822320217
23/6,1.9385994553358568,29793,0.0005859281429824,0.9083580103750041
3/26,-3.115477217419936,29731,0.0005847088114325,0.9089427191864365
6/23,-1.9385994553358568,29657,0.0005832534802279,0.9095259726666645
